SSID, BSS, RSSI, canal, hora
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-80", "7", "10:14:14"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-82", "7", "10:14:16"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-82", "7", "10:14:19"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-82", "7", "10:14:21"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-82", "7", "10:14:23"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-82", "7", "10:14:26"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-80", "7", "10:14:28"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-81", "7", "10:14:31"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-81", "7", "10:14:33"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-81", "7", "10:14:35"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-81", "7", "10:14:38"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-81", "7", "10:14:40"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-79", "7", "10:14:43"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-79", "7", "10:14:45"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-79", "7", "10:14:48"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-79", "7", "10:14:50"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-79", "7", "10:14:53"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-79", "7", "10:14:55"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-79", "7", "10:14:57"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-79", "7", "10:15:00"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-83", "4", "10:14:09"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-93", "4", "10:14:11"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-93", "4", "10:14:14"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-93", "4", "10:14:16"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-93", "4", "10:14:19"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-83", "4", "10:14:21"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-83", "4", "10:14:23"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-83", "4", "10:14:26"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-85", "4", "10:14:28"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-79", "4", "10:14:31"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-79", "4", "10:14:33"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-81", "4", "10:14:35"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-82", "4", "10:14:38"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-80", "4", "10:14:40"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-81", "4", "10:14:43"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-81", "4", "10:14:45"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-81", "4", "10:14:48"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-81", "4", "10:14:50"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-81", "4", "10:14:53"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-77", "4", "10:14:55"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-75", "4", "10:14:57"
"IZZI-26AD", "5C:A4:F4:2C:26:AD", "-86", "4", "10:15:00"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:11"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:14"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:16"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:19"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:21"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:23"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:26"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:28"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:31"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:33"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:35"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:38"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:40"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-96", "100", "10:14:53"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-94", "100", "10:14:55"
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-95", "100", "10:14:57"
